Rank,(All),,,,,,,,,,,,,,,,,,,,
No Handicap,(Multiple Items),,,,,,,,,,,,,,,,,,,,
Median Var,(All),,,,,,,,,,,,,,,,,,,,
Season,(All),,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Values,,,,,,,,,,,,,,,,,,,,
Full Name,Count of Full Name,Min of Score,,,,,,Full Name,Count of Full Name,Min of Score,check,check,,,,,,,,,
Oren Bame,20,51,,,,,,Pat Walsh,53,57,57,0,,,,,,,,,
Orion Sylvester,125,46,,,,,,Mark Tegenkamp,52,47,47,0,,,,,,,,,
Pat Walsh,53,57,,,,,,Tim Smith,51,52,52,0,,,,,,,,,
Patrick Bohlen,20,58,,,,,,Kellen Martin,51,52,52,0,,,,,,,,,
Patrick Brown,221,39,,,,,,Eric Roth,51,50,50,0,,,,,,,,,
Patrick Knight,14,52,,,,,,Scooter Wilson,50,54,54,0,,,,,,,,,
Patrick Obrien,1,53,,,,,,Ben Parsons,50,47,47,0,,,,,,,,,
Patrick Smith,26,53,,,,,,Nick Norena,50,50,50,0,,,,,,,,,
Patrick Wood,166,43,,,,,,Landyn Christopher,50,54,54,0,,,,,,,,,
Paul ,1,69,,,,,,Craig Bostwick,50,59,59,0,,,,,,,,,
Paul Arden,2,57,,,,,,Mark Mozuch,49,51,51,0,,,,,,,,,
Paul Cunningham,25,56,,,,,,Kevin Yoshimoto,49,55,55,0,,,,,,,,,
Paul Dobson,58,47,,,,,,Jon Braidman,49,48,48,0,,,,,,,,,
Paul Murdock,1,61,,,,,,Pete Kozlowski,48,52,52,0,,,,,,,,,
Pete D'Agostino,28,52,,,,,,Scott Riley,48,45,45,0,,,,,,,,,
Pete Kozlowski,48,52,,,,,,William Matheny IV,48,51,51,0,,,,,,,,,
Peter Black,104,43,,,,,,Chris Spotts,48,58,58,0,,,,,,,,,
Peter Schaefer,31,49,,,,,,Edward Bigarani,48,50,50,0,,,,,,,,,
Peter Sontag,23,46,,,,,,William Jerpe,48,53,53,0,,,,,,,,,
Peter Thayer,416,56,,,,,,Matt Angel,47,47,47,0,,,,,,,,,
Quentin Gill,9,54,,,,,,Brandon Saker,47,57,57,0,,,,,,,,,
Ray Fort,1,56,,,,,,Jay Harper,47,64,64,0,,,,,,,,,
Reggie Jackson,15,55,,,,,,Dave Burnham,46,45,45,0,,,,,,,,,
Rene Arellano,2,73,,,,,,Blake Zealear,46,49,49,0,,,,,,,,,
Rich Wright,1,54,,,,,,Trevor Vigoren,45,52,52,0,,,,,,,,,
Rob Brainbridge,1,55,,,,,,James Cebrian,45,48,48,0,,,,,,,,,
Rob Byers,29,48,,,,,,Mike Wilson,45,53,53,0,,,,,,,,,
Rob Levander,73,51,,,,,,Warren McCormick,45,54,54,0,,,,,,,,,
Rocky Mullin,4,60,,,,,,Nate Clarke,45,52,52,0,,,,,,,,,
Roger Cansler,10,44,,,,,,Chris Johengen,45,49,49,0,,,,,,,,,
Roji Behr,12,54,,,,,,David Haning,44,49,49,0,,,,,,,,,
Ron Artigues,1,76,,,,,,David Lucas,44,50,50,0,,,,,,,,,
Ron Brown,7,50,,,,,,Kyle Orndorff,44,49,49,0,,,,,,,,,
Ron Elder,5,67,,,,,,Daniel Diodato,44,46,46,0,,,,,,,,,
Ross Hammond,89,46,,,,,,Vince Cervantes,44,48,48,0,,,,,,,,,
Ryan Becker,1,75,,,,,,Steven Cole,44,59,59,0,,,,,,,,,
Ryan Darst,2,72,,,,,,Josh Bevalacqua,43,52,52,0,,,,,,,,,
Ryan Dexter,29,47,,,,,,Spencer Churchill,43,48,48,0,,,,,,,,,
Rygel Leone,19,52,,,,,,Michael Neylan,43,48,48,0,,,,,,,,,
Scott Harth,1,66,,,,,,Patrick Humphreys,43,47,47,0,,,,,,,,,
Scott Riley,48,45,,,,,,Mark Pelzner,42,48,48,0,,,,,,,,,
Scott Shanbron,8,54,,,,,,Thor Scordelis,42,53,53,0,,,,,,,,,
Scott Snyder,183,48,,,,,,Mike Sale,42,46,46,0,,,,,,,,,
Seamus Murphy,1,69,,,,,,Christian Plevin,42,52,52,0,,,,,,,,,
Seth Blacher,9,49,,,,,,Kevin Couch,41,44,44,0,,,,,,,,,
Seth Merrill,1,73,,,,,,Parry Wolfe,41,50,50,0,,,,,,,,,
Shane Aldrich,1,76,,,,,,Nicole Jensen,41,63,63,0,,,,,,,,,
Shawn Bryant,2,66,,,,,,Alex Grantz,41,55,55,0,,,,,,,,,
Steve Aldrich,1,77,,,,,,Dan Rhodas,41,58,58,0,,,,,,,,,
Steve Archuleta,132,45,,,,,,Mike Newton,40,51,51,0,,,,,,,,,
Steve Houskey,7,57,,,,,,Jeffery Bowling,39,57,57,0,,,,,,,,,
Steve Schindler,9,60,,,,,,Paul Kinney,39,47,47,0,,,,,,,,,
Steve Starfas,1,67,,,,,,Kevin Gilbert,39,47,47,0,,,,,,,,,
Steve Walsh,2,58,,,,,,George Marx,39,65,65,0,,,,,,,,,
Steven Leibof,1,61,,,,,,Juan Bernal,39,43,43,0,,,,,,,,,
SunRay Hawk,38,51,,,,,,Travis Callahan,39,43,43,0,,,,,,,,,
Susan Schoter,1,63,,,,,,Bobby Hoellwarth,38,48,48,0,,,,,,,,,
Susan Zavada,5,70,,,,,,James Schindler,38,52,52,0,,,,,,,,,
Tait Pricer,1,70,,,,,,Joe Olson,38,51,51,0,,,,,,,,,
