,,,,name,,,,
Mark Luers,10, (4.11),,,,,,
Tommy Lee Leighton,54, (4.14),,,,,,
Jon Marcus,3, (4.20),,,,,,
Wade Goodway,5, (4.20),,,,,,
Yussef Milburn,3, (4.20),,,,,,
Jacob Rose,4, (4.20),,,,,,
Kim Sturdevant,64, (4.28),,,,,,
Dan Raile,14, (4.28),,,,,,
Mike Ridley,183, (4.32),,,,,,
Robert Hurkman,6, (4.32),,,,,,
Greg Durrett,16, (4.32),,,,,,
Nick Friesen,16, (4.41),,,,,,
Greg Ula,4, (4.43),,,,,,
Del Ray Livremento,3, (4.43),,,,,,
Craig Deschner,4, (4.43),,,,,,
Jason Stewart,17, (4.46),,,,,,
Sam Albadeh,35, (4.46),,,,,,
Chris Spotts,44, (4.46),,,,,,
Mike Jewett,9, (4.47),,,,,,
Mike McClure,9, (4.47),,,,,,
Juni Martins,3, (4.55),,,,,,
AJ Rosally,6, (4.56),,,,,,
Nick Nelson,10, (4.63),,,,,,
Chris Mergemekes,35, (4.68),,,,,,
Walker Quinn,5, (4.73),,,,,,
Matt Patterson,8, (4.73),,,,,,
Murray Brozinsky,8, (4.73),,,,,,
Greg Mann,12, (4.75),,,,,,
Ernie Motton,4, (4.78),,,,,,
Spyder Allen,7, (4.80),,,,,,
Todd Boschert,5, (4.90),,,,,,
Viento Nieto,32, (4.91),,,,,,
Matt Paddock,8, (4.93),,,,,,
Ty Gott,28, (4.95),,,,,,
Dan Gottheiner,6, (4.96),,,,,,
Nick Sellers,6, (4.96),,,,,,
Norbert Fovenyessy,5, (4.99),,,,,,
Kyle Maxwell,4, (5.02),,,,,,
George Kolcun,31, (5.04),,,,,,
Scooter Wilson,12, (5.05),,,,,,
Tim Anderson,11, (5.06),,,,,,
Tom McCulla,5, (5.08),,,,,,
Scott Thomas,7, (5.12),,,,,,
Jeff Hayes,8, (5.13),,,,,,
Anthony Rinquette,13, (5.20),,,,,,
Lee Rodrigues,4, (5.25),,,,,,
Danny Mazeris,4, (5.25),,,,,,
Tyler Delatorre,3, (5.25),,,,,,
Brandon Saker,9, (5.27),,,,,,
Mike Von Asten,8, (5.27),,,,,,
Will Gullickson,7, (5.28),,,,,,
Dave Hiltbrand,3, (5.37),,,,,,
Nathaniel Redmond,3, (5.37),,,,,,
Jim Oller,16, (5.54),,,,,,
Joe Fredeani,15, (5.54),,,,,,
Duane Hogarty,3, (5.60),,,,,,
Matt Cammann,3, (5.60),,,,,,
Dan Dalby,3, (5.60),,,,,,
Brandt Collings,7, (5.60),,,,,,
Thomas Bullock,8, (5.67),,,,,,
KP Hunter,23, (5.67),,,,,,
Alex Grantz,25, (5.67),,,,,,
Brian Brooks,6, (5.68),,,,,,
Joerg Bashir,6, (5.68),,,,,,
Dave McGrath,6, (5.68),,,,,,
Niles Follin,12, (5.80),,,,,,
Agnes Kavlick,4, (5.95),,,,,,
Eric Samuel,10, (6.17),,,,,,
Mark Dub,5, (6.21),,,,,,
Dan Mallahan,7, (6.24),,,,,,
Aaron Bruno,12, (6.25),,,,,,
Chad Savage,4, (6.30),,,,,,
Jeff Rosen,4, (6.30),,,,,,
Corey Kohler,3, (6.30),,,,,,
Lefty McFarland,14, (6.35),,,,,,
Peter Thayer,266, (6.39),,,,,,
Cuong Pham,7, (6.48),,,,,,
Erik Kamprud,23, (6.53),,,,,,
JP Lorrain,3, (6.53),,,,,,
Ryan Hisamoto,3, (6.53),,,,,,
Tony Rios,4, (6.53),,,,,,
Ivan Abeshaus,5, (6.65),,,,,,
John Buechner,5, (6.65),,,,,,
Joe Kenny,9, (6.67),,,,,,
Kyle Neuer,3, (6.77),,,,,,
Justin Bojorquez,22, (6.84),,,,,,
Billy O'Connor,9, (6.87),,,,,,
Nick Jaros,7, (6.88),,,,,,
Ben Torres,10, (6.91),,,,,,
Amber Clark,4, (7.00),,,,,,
Nicole Jensen,41, (7.11),,,,,,
Albert Adams,4, (7.23),,,,,,
Travis Huntington,3, (7.23),,,,,,
Dan Goodman,12, (7.30),,,,,,
Bill Dooely,3, (7.35),,,,,,
Lane Lillquist,7, (7.36),,,,,,
Gary Neely,5, (7.44),,,,,,
Mike Kornegay,4, (7.47),,,,,,
Wayne Koepcke,4, (7.47),,,,,,
Josh Schmidt,3, (7.47),,,,,,
Lauren Kopec,7, (7.52),,,,,,
Ken Rowley,13, (7.60),,,,,,
Gulya Barclay,13, (7.65),,,,,,
Anthony Archuleta,5, (7.70),,,,,,
Casey Hudson,5, (7.88),,,,,,
Stephanie Bogue,8, (7.93),,,,,,
Matt Frantz,6, (8.00),,,,,,
Aggie Kavlick,16, (8.15),,,,,,
David Murguido,4, (8.17),,,,,,
David Rounsaville,3, (8.17),,,,,,
Nate Robinson,5, (8.40),,,,,,
Tom Abbate,3, (8.40),,,,,,
William O'Hara,3, (8.40),,,,,,
Gib Green,3, (8.40),,,,,,
Tim Briggs,7, (8.40),,,,,,
David Ewell,7, (8.48),,,,,,
Southpaw Hoover,7, (8.48),,,,,,
Don Weil,9, (8.53),,,,,,
Hugh Harrell,23, (8.55),,,,,,
Jay Harper,23, (8.60),,,,,,
