,course_id,cumgame_coeff,intercept,mse,n_value,nomatch,player,precip_coeff,prediction_score,wind_coeff
150,0,,,,,1.0,Brian Fattig,,,
151,1,,,,,1.0,Brian Fattig,,,
152,2,,71.0,,,,Brian Fattig,,,
153,0,,,,,1.0,Matt Wilcox,,,
154,1,,,,,1.0,Matt Wilcox,,,
155,2,,63.0,,,,Matt Wilcox,,,
156,0,,,,,1.0,OV Chad,,,
157,1,,,,,1.0,OV Chad,,,
158,2,,72.0,,,,OV Chad,,,
159,0,,,,,1.0,John Owen,,,
160,1,,,,,1.0,John Owen,,,
161,2,,53.0,,,,John Owen,,,
162,0,,,,,1.0,Rob Sindelar,,,
163,1,,,,,1.0,Rob Sindelar,,,
164,2,,54.5,,,,Rob Sindelar,,,
165,0,,,,,1.0,Rex Crossen,,,
166,1,,,,,1.0,Rex Crossen,,,
167,2,,58.0,,,,Rex Crossen,,,
168,0,,,,,1.0,Daley Stevens,,,
169,1,,,,,1.0,Daley Stevens,,,
170,2,,62.0,,,,Daley Stevens,,,
171,0,,,,,1.0,Jeremey Adelson,,,
172,1,,67.0,,,,Jeremey Adelson,,,
173,2,,,,,1.0,Jeremey Adelson,,,
174,0,,,,,1.0,John Jennings,,,
175,1,-0.0,63.8,14.959999999999999,5.0,,John Jennings,0.0,0.0,0.0
176,2,-0.4294254372123401,62.60606060606061,12.10180581410466,33.0,,John Jennings,0.37888193949629406,0.16079555963066894,0.8370054369040689
177,0,,,,,1.0,Josh Cook,,,
178,1,0.5413378271945833,52.0,0.07424412168097246,4.0,,Josh Cook,0.0,0.9257558783190275,-0.39183557033974403
179,2,,,,,1.0,Josh Cook,,,
180,0,0.0,56.05882352941177,9.937716262975776,17.0,,Luiz Celeste,-0.0,0.0,-0.0
181,1,-0.0,60.0,11.692307692307692,13.0,,Luiz Celeste,-0.0,0.0,0.0
182,2,-0.0,55.285714285714285,6.782129478768002,21.0,,Luiz Celeste,-0.3957329183041213,0.10020484352085168,0.6513276504498742
183,0,,,,,1.0,Matt Petrie,,,
184,1,,65.0,,,,Matt Petrie,,,
185,2,,,,,1.0,Matt Petrie,,,
186,0,,,,,1.0,Paul WIldt,,,
187,1,,64.0,,,,Paul WIldt,,,
188,2,,,,,1.0,Paul WIldt,,,
189,0,,,,,1.0,Peter William Sontag,,,
190,1,1.9036778919265072,51.0,2.2974957614820397,5.0,,Peter William Sontag,2.276229051771868,0.8147180837514484,-0.562240505803217
191,2,,,,,1.0,Peter William Sontag,,,
192,0,,,,,1.0,Tim Zebal,,,
193,1,,64.0,,,,Tim Zebal,,,
194,2,,,,,1.0,Tim Zebal,,,
195,0,,,,,1.0,Arthur Coddington,,,
196,1,-1.7154697610002072,54.57142857142857,6.83706771051061,7.0,,Arthur Coddington,-0.2372510009324324,0.6524726993620126,-3.0401441258000705
197,2,,,,,1.0,Arthur Coddington,,,
198,0,-0.6046328249171756,53.166666666666664,1.8147635746451527,6.0,,Dylan Cantu,3.3466022710692465,0.8980788007999603,-0.0
199,1,-0.3868599586040748,55.333333333333336,10.968547538742813,6.0,,Dylan Cantu,0.0,0.12639886859570526,-0.0
200,2,,54.0,,,,Dylan Cantu,,,
201,0,,,,,1.0,Eric Kraszewski,,,
202,1,-0.0,56.8,9.36,5.0,,Eric Kraszewski,0.0,0.0,0.0
203,2,,,,,1.0,Eric Kraszewski,,,
204,0,1.5486467407085411,69.125,6.257549014383257,16.0,,Hugh Harrell,3.0729099479912496,0.736350798603997,1.248090168681644
205,1,-0.0,76.66666666666667,24.88888888888889,3.0,,Hugh Harrell,0.0,0.0,2.8927550722399244e-17
206,2,,66.0,,,,Hugh Harrell,,,
207,0,-0.0,62.666666666666664,1.3108496496235118,3.0,,Tu Tran,0.0,0.88656108801335,-2.316442269705602
208,1,-0.7460528360544287,66.8,2.6960464179136707,5.0,,Tu Tran,-0.9516427336036206,0.7982001184196355,1.6409597359917107
209,2,,,,,1.0,Tu Tran,,,
210,0,,,,,1.0,Eddy Bigarani,,,
211,1,,60.0,,,,Eddy Bigarani,,,
212,2,,,,,1.0,Eddy Bigarani,,,
213,0,,,,,1.0,Mariano Hernandez,,,
214,1,,69.0,,,,Mariano Hernandez,,,
215,2,,,,,1.0,Mariano Hernandez,,,
216,0,,,,,1.0,Nate Gonzales,,,
217,1,,68.0,,,,Nate Gonzales,,,
218,2,,,,,1.0,Nate Gonzales,,,
219,0,,,,,1.0,Noah Bernhardt,,,
220,1,,62.0,,,,Noah Bernhardt,,,
221,2,,,,,1.0,Noah Bernhardt,,,
