,T_coeff,course_id,cumgame_coeff,dirvar_coeff,intercept,mse,n_values,nomatch,player,precip_coeff,prediction_score,removed_corr,wgust_coeff,wspd_coeff
225,,0,,,,,,1.0,Matt Hansen,,,,,
226,,1,0.0,,59.166666666666664,5.472222222222222,6.0,,Matt Hansen,,0.0,0.0,,
227,,2,,,61.0,0.0,1.0,,Matt Hansen,,,0.0,,
228,,0,,,,,,1.0,Rob Singular,,,,,
229,,1,,,68.0,0.0,1.0,,Rob Singular,,,0.0,,
230,,2,,,,,,1.0,Rob Singular,,,,,
231,,0,,,,,,1.0,Valerie ,,,,,
232,,1,,,69.0,0.0,1.0,,Valerie ,,,0.0,,
233,,2,,,,,,1.0,Valerie ,,,,,
234,,0,,,,,,1.0,Greg Randolph,,,,,
235,,1,,,62.0,0.0,1.0,,Greg Randolph,,,0.0,,
236,,2,,,59.5,1.5,2.0,,Greg Randolph,,,2.0,,
237,,0,,,,,,1.0,Jason Cantero,,,,,
238,,1,,,54.0,0.0,1.0,,Jason Cantero,,,0.0,,
239,,2,,,,,,1.0,Jason Cantero,,,,,
240,0.2880158769572906,0,0.23663719880720677,0.002083366537106908,36.167581862623265,5.469187369123844,12.0,,Shawn Mercy,436.58030555680205,0.6874750074786377,0.0,-0.7510628420480477,2.8439116971845824
241,,1,,,58.5,3.5,2.0,,Shawn Mercy,,,2.0,,
242,,2,,,,,,1.0,Shawn Mercy,,,,,
243,,0,,,,,,1.0,Stephen Willis,,,,,
244,,1,,,53.0,0.0,1.0,,Stephen Willis,,,0.0,,
245,,2,,,,,,1.0,Stephen Willis,,,,,
246,,0,,,,,,1.0,Jesse Rudner,,,,,
247,,1,,,,,,1.0,Jesse Rudner,,,,,
248,,2,,,72.0,5.0,2.0,,Jesse Rudner,,,2.0,,
249,,0,,,,,,1.0,Art Coddington,,,,,
250,,1,,,,,,1.0,Art Coddington,,,,,
251,,2,,,59.0,0.0,1.0,,Art Coddington,,,0.0,,
252,0.0,0,-0.0,-0.0,58.142857142857146,17.26530612244898,14.0,,Daniel Charlip-Blumlein,-0.0,0.0,0.0,0.0,2.407350850657755e-17
253,,1,,,,,,1.0,Daniel Charlip-Blumlein,,,,,
254,,2,,,62.0,0.0,1.0,,Daniel Charlip-Blumlein,,,0.0,,
255,,0,,,,,,1.0,Val St. Louis,,,,,
256,,1,,,63.0,0.0,1.0,,Val St. Louis,,,0.0,,
257,,2,,,76.66666666666667,6.128258770283412,3.0,,Val St. Louis,,,2.0,,
258,,0,0.0,,53.666666666666664,10.555555555555555,6.0,,Beau Griffin,,0.0,0.0,,
259,,1,,,54.0,0.0,1.0,,Beau Griffin,,,0.0,,
260,,2,0.0,,54.57142857142857,10.244897959183673,7.0,,Beau Griffin,,0.0,0.0,,
261,-0.0,0,0.0,0.0,57.8,16.16,10.0,,Jesse Miller,-0.0,0.0,0.0,0.0,0.0
262,,1,-1.0811131016586593,,57.37166965248799,2.1348893428318663,4.0,,Jesse Miller,,0.4901756793237334,0.0,,
263,,2,-8.37342772183133e-18,,57.2,7.760000000000001,5.0,,Jesse Miller,,0.0,0.0,,
264,,0,,,,,,1.0,Ayton Hesterman,,,,,
265,,1,,,108.0,0.0,1.0,,Ayton Hesterman,,,0.0,,
266,,2,,,,,,1.0,Ayton Hesterman,,,,,
267,,0,,,,,,1.0,Craig Brown,,,,,
268,,1,,,66.66666666666667,3.2998316455372216,3.0,,Craig Brown,,,1.0,,
269,,2,,,,,,1.0,Craig Brown,,,,,
270,,0,,,,,,1.0,Gordon Kennedy,,,,,
271,,1,,,68.0,3.0,2.0,,Gordon Kennedy,,,2.0,,
272,,2,,,,,,1.0,Gordon Kennedy,,,,,
273,,0,,,,,,1.0,James Bowden,,,,,
274,,1,,,82.0,0.0,1.0,,James Bowden,,,0.0,,
275,,2,,,,,,1.0,James Bowden,,,,,
276,,0,,,61.0,0.0,1.0,,Jamie Kennedy,,,0.0,,
277,,1,,,67.5,0.5,2.0,,Jamie Kennedy,,,2.0,,
278,,2,,,,,,1.0,Jamie Kennedy,,,,,
279,0.0,0,0.0,0.0,49.09090909090909,12.44628099173554,11.0,,Jeff Faes,-0.0,0.0,0.0,-0.0,0.0
280,,1,,,50.5,0.5,2.0,,Jeff Faes,,,2.0,,
281,,2,,,,,,1.0,Jeff Faes,,,,,
282,,0,0.44880468016388464,,54.10239063967223,11.848588817087379,5.0,,Keek Solorio,,0.1287802340376928,0.0,,
283,,1,,,52.0,0.0,1.0,,Keek Solorio,,,0.0,,
284,,2,,,,,,1.0,Keek Solorio,,,,,
285,,0,,,,,,1.0,Marc Atkinson,,,,,
286,,1,0.0,,71.5,16.916666666666668,6.0,,Marc Atkinson,,0.0,0.0,,
287,,2,,,,,,1.0,Marc Atkinson,,,,,
288,,0,,,,,,1.0,Mark Farr,,,,,
289,,1,-0.0,,62.25,5.1875,4.0,,Mark Farr,,0.0,1.0,,
290,,2,,,,,,1.0,Mark Farr,,,,,
291,,0,2.164949277625934,,65.5025760835611,1.932849094391259,4.0,,Michael Infusino,,0.8191486227470167,0.0,,
292,,1,,,63.0,0.0,1.0,,Michael Infusino,,,0.0,,
293,,2,,,,,,1.0,Michael Infusino,,,,,
294,,0,,,,,,1.0,Pat Humphreys,,,,,
295,,1,,,61.0,0.0,1.0,,Pat Humphreys,,,0.0,,
296,,2,,,,,,1.0,Pat Humphreys,,,,,
297,,0,,,,,,1.0,Peter Ward,,,,,
298,,1,,,62.0,5.0990195135927845,3.0,,Peter Ward,,,0.0,,
299,,2,,,,,,1.0,Peter Ward,,,,,
300,,0,,,,,,1.0,Steven Johnson,,,,,
301,,1,,,59.0,0.0,1.0,,Steven Johnson,,,0.0,,
302,,2,,,,,,1.0,Steven Johnson,,,,,
303,,0,,,,,,1.0,ThomasHesterman,,,,,
304,,1,,,99.0,0.0,1.0,,ThomasHesterman,,,0.0,,
305,,2,,,,,,1.0,ThomasHesterman,,,,,
306,,0,,,,,,1.0,Nate Tilman,,,,,
307,,1,,,,,,1.0,Nate Tilman,,,,,
308,-0.0,2,0.0,0.0,71.0,45.0,12.0,,Nate Tilman,0.0,0.0,0.0,0.0,0.0
309,,0,,,,,,1.0,Sidharth Kumar,,,,,
310,,1,,,,,,1.0,Sidharth Kumar,,,,,
311,,2,,,69.0,0.0,1.0,,Sidharth Kumar,,,0.0,,
312,,0,,,,,,1.0,Zac Pape,,,,,
313,,1,,,,,,1.0,Zac Pape,,,,,
314,-0.0,2,0.0,0.0,62.11764705882353,18.45674740484429,17.0,,Zac Pape,-0.0,0.0,0.0,0.0,0.0
315,,0,,,68.0,0.0,1.0,,Eddie Fitzsimmons,,,0.0,,
316,,1,,,62.0,0.0,1.0,,Eddie Fitzsimmons,,,0.0,,
317,,2,,,,,,1.0,Eddie Fitzsimmons,,,,,
318,,0,,,,,,1.0,Erik Romme,,,,,
